name,positions,overall,potential,value_eur,height_cm,weight_kg,preferred_foot,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
N. Kante,MF,90,90,100000000,168,70,Right,78,66,75,82,87,83,68,65,54,82,56,79,49,49,79,81,82,75,82,93,92,71,77,97,72,65,93,91,72,78,54,84,90,93,86,15,12,10,7,10,72,72,72,77,77,77,77,77,78,78,78,79,82,82,82,79,85,87,87,87,85,85,84,84,84,85,20
K. Benzema,FW,89,89,66000000,185,81,Right,76,86,81,87,39,77,75,90,89,86,86,87,81,73,73,90,77,75,79,91,72,85,79,78,82,79,63,39,90,87,84,90,43,24,18,13,11,5,5,7,87,87,87,85,87,87,87,85,86,86,86,84,80,80,80,84,63,62,62,62,63,59,55,55,55,59,18
T. Courtois,GK,89,91,85500000,199,96,Left,,,,,,,14,14,13,33,12,13,19,20,35,23,42,52,62,84,45,56,68,38,70,17,23,15,13,44,27,66,20,18,16,84,89,74,86,88,31,31,31,29,31,31,31,29,32,32,32,31,32,32,32,31,29,31,31,31,29,29,29,29,29,29,86
H. Son,FW,89,89,104000000,183,78,Right,88,87,82,86,43,69,83,88,68,84,78,87,85,74,74,84,85,90,86,91,78,88,60,88,64,89,62,39,91,83,73,89,50,34,33,11,13,13,6,10,85,85,85,87,87,87,87,87,86,86,86,86,80,80,80,86,68,64,64,64,68,64,54,54,54,64,19
Casemiro,MF,89,89,88000000,185,84,Right,65,73,76,73,86,90,58,64,79,84,62,69,62,74,84,79,60,69,61,87,66,88,87,89,90,81,91,87,75,80,66,84,85,88,87,13,14,16,12,12,76,76,76,72,76,76,76,72,76,76,76,74,82,82,82,74,80,86,86,86,80,81,86,86,86,81,21
V. van Dijk,DF,89,89,86000000,193,92,Right,78,60,71,72,91,84,53,52,87,79,45,70,60,70,86,76,66,88,61,87,53,81,90,69,92,64,83,90,47,65,62,90,92,92,86,13,10,13,11,11,70,70,70,67,69,69,69,67,70,70,70,70,75,75,75,70,79,84,84,84,79,81,88,88,88,81,20
S. Mane,MF,89,89,101000000,175,69,Right,91,83,80,89,44,77,78,86,84,84,75,90,77,64,71,88,93,90,93,91,88,83,87,85,72,80,75,35,90,84,71,84,42,42,38,10,10,15,7,14,86,86,86,87,88,88,88,87,87,87,87,86,80,80,80,86,68,65,65,65,68,65,59,59,59,65,19
M. Salah,MF,89,89,101000000,175,71,Left,90,87,81,90,45,75,79,91,59,84,81,90,83,69,75,89,89,91,91,92,91,82,69,85,75,84,63,55,91,83,86,90,38,43,41,14,14,9,11,14,85,85,85,88,88,88,88,88,87,87,87,87,82,82,82,87,71,68,68,68,71,67,58,58,58,67,22
Ederson,GK,89,91,94000000,188,86,Left,,,,,,,20,14,14,61,18,23,15,20,66,40,64,63,60,88,48,70,66,41,78,18,38,27,20,70,51,70,29,15,8,87,82,93,88,88,40,40,40,41,43,43,43,41,47,47,47,44,49,49,49,44,37,44,44,44,37,36,35,35,35,36,87
J. Kimmich,MF,89,90,108000000,177,75,Right,70,73,86,84,83,79,91,68,72,87,69,83,85,61,90,85,77,65,84,88,84,78,79,94,68,84,89,84,80,85,44,85,85,85,79,8,15,7,15,15,77,77,77,82,81,81,81,82,83,83,83,83,86,86,86,83,85,86,86,86,85,83,81,81,81,83,21
Alisson,GK,89,90,82000000,191,91,Right,,,,,,,17,13,29,45,20,27,19,18,44,30,56,47,40,87,37,63,52,32,78,14,27,11,13,66,23,65,15,19,16,86,86,84,90,89,37,37,37,35,38,38,38,35,40,40,40,38,40,40,40,38,31,35,35,35,31,30,31,31,31,30,87
G. Donnarumma,GK,89,93,119500000,196,90,Right,,,,,,,12,12,12,36,8,28,12,14,34,30,50,55,64,85,38,59,72,34,72,18,30,26,14,60,24,68,20,14,16,91,83,79,85,90,34,34,34,34,36,36,36,34,38,38,38,35,37,37,37,35,31,34,34,34,31,31,31,31,31,31,87
Sergio Ramos,DF,88,88,24000000,184,82,Right,70,70,76,74,88,84,66,65,92,82,69,65,74,76,83,83,71,69,77,92,66,79,93,78,84,64,90,87,73,71,92,88,84,89,91,11,8,9,7,11,76,76,76,73,75,75,75,73,75,75,75,74,79,79,79,74,81,85,85,85,81,83,87,87,87,83,18
L. Suarez,FW,88,88,44500000,182,83,Right,72,90,82,84,47,83,80,93,84,83,90,83,86,82,77,86,76,69,75,92,78,89,69,78,85,88,87,41,91,84,83,87,42,45,38,27,25,31,33,37,87,87,87,84,86,86,86,84,85,85,85,83,80,80,80,83,66,67,67,67,66,63,61,61,61,63,37
T. Kroos,MF,88,88,75000000,183,76,Right,53,81,91,81,71,68,88,77,58,93,82,80,86,84,93,88,55,52,63,90,71,89,32,75,72,86,60,80,76,90,73,88,71,73,60,10,11,13,7,10,77,77,77,80,81,81,81,80,83,83,83,81,86,86,86,81,77,81,81,81,77,74,71,71,71,74,19
R. Lukaku,FW,88,88,93500000,191,94,Left,84,87,74,78,39,83,73,92,89,77,78,83,78,66,70,77,81,87,60,91,52,89,76,71,95,74,71,27,89,75,88,86,30,41,30,8,15,14,7,10,87,87,87,81,84,84,84,81,80,80,80,80,74,74,74,80,61,59,59,59,61,58,57,57,57,58,19
K. Navas,GK,88,88,15500000,185,80,Right,,,,,,,11,15,11,40,11,24,21,15,37,30,54,53,60,85,61,56,74,39,75,13,32,22,16,68,25,67,28,14,14,89,84,75,87,89,34,34,34,35,37,37,37,35,40,40,40,37,39,39,39,37,32,36,36,36,32,31,32,32,32,31,86
R. Sterling,MF,88,89,107500000,170,69,Right,91,82,79,87,45,66,79,85,46,83,67,87,79,72,69,86,95,88,94,90,93,78,57,79,64,83,59,30,91,82,67,78,47,53,47,15,12,12,15,9,81,81,81,87,86,86,86,87,86,86,86,85,78,78,78,85,69,64,64,64,69,65,55,55,55,65,21
Bruno Fernandes,MF,88,89,107500000,179,69,Right,75,86,89,84,70,77,87,83,64,91,87,83,87,87,88,87,77,73,80,91,79,89,73,91,70,89,78,66,87,90,91,87,72,73,65,12,14,15,8,14,83,83,83,85,85,85,85,85,87,87,87,86,87,87,87,86,80,80,80,80,80,77,73,73,73,77,21
E. Haaland,FW,88,93,137500000,194,94,Left,89,91,65,80,45,88,47,94,69,77,88,78,77,62,51,85,82,94,75,88,72,94,74,82,93,87,85,43,89,71,76,84,44,43,30,7,14,13,11,7,87,87,87,80,84,84,84,80,81,81,81,78,73,73,73,78,62,63,63,63,62,60,60,60,60,60,19
S. Aguero,FW,87,87,51000000,173,70,Right,71,89,75,87,33,69,70,93,78,80,85,86,83,73,64,88,75,68,82,89,90,90,78,62,74,83,65,24,91,80,75,91,30,29,24,13,15,6,11,14,86,86,86,83,85,85,85,83,84,84,84,80,75,75,75,80,57,57,57,57,57,54,50,50,50,54,21
H. Lloris,GK,87,87,13500000,188,82,Left,,,,,,,13,10,10,50,11,10,11,10,50,34,61,62,55,85,54,49,74,41,43,14,31,27,10,50,40,65,29,10,18,88,83,65,84,90,31,31,31,33,34,34,34,33,38,38,38,36,39,39,39,36,35,38,38,38,35,34,30,30,30,34,85
L. Modric,MF,87,87,32000000,172,66,Right,73,76,89,88,72,66,86,72,55,91,76,85,85,78,89,90,76,70,91,88,92,79,67,83,58,82,62,80,78,90,82,92,70,75,71,13,9,7,14,9,76,76,76,83,82,82,82,83,85,85,85,84,86,86,86,84,81,81,81,81,81,78,72,72,72,78,19
A. Di Maria,MF,87,87,49500000,180,69,Left,83,81,86,87,48,69,88,79,51,84,78,88,91,88,82,87,83,83,94,84,76,83,73,78,62,86,73,42,84,88,73,86,41,55,52,10,7,11,12,11,79,79,79,85,84,84,84,85,85,85,85,85,81,81,81,85,70,68,68,68,70,67,58,58,58,67,18
W. Szczesny,GK,87,87,42000000,195,90,Right,,,,,,,12,12,16,32,14,11,16,14,36,22,51,47,55,82,51,55,71,45,65,14,40,15,14,48,18,65,20,13,12,86,82,73,87,88,31,31,31,28,31,31,31,28,32,32,32,31,33,33,33,31,28,31,31,31,28,28,29,29,29,28,85
T. Muller,MF,87,87,66000000,185,76,Right,67,84,83,80,56,71,85,88,81,85,84,77,81,59,79,84,66,67,73,94,71,78,77,86,66,82,62,58,96,85,70,84,47,57,46,6,7,11,14,14,83,83,83,83,84,84,84,83,84,84,84,83,82,82,82,83,71,71,71,71,71,69,63,63,63,69,20
C. Immobile,FW,87,87,67500000,185,85,Right,86,87,67,81,39,77,55,91,81,80,85,80,70,51,53,83,84,87,75,90,85,86,82,78,76,80,77,40,91,71,88,79,34,33,32,6,8,15,12,6,86,86,86,81,84,84,84,81,81,81,81,79,73,73,73,79,61,60,60,60,61,59,56,56,56,59,17
P. Pogba,MF,87,87,79500000,191,84,Right,71,81,86,86,65,83,77,75,74,88,84,88,85,82,92,90,63,77,73,83,67,90,82,77,89,84,78,65,80,89,81,88,59,67,63,5,6,2,4,3,82,82,82,82,83,83,83,82,85,85,85,83,85,85,85,83,74,78,78,78,74,72,72,72,72,72,13
M. Verratti,MF,87,87,79500000,165,60,Right,64,61,87,91,79,67,82,60,57,90,64,91,85,64,89,92,68,60,91,87,94,60,67,76,54,58,89,85,78,89,64,94,78,82,84,12,12,15,15,10,71,71,71,81,79,79,79,81,84,84,84,82,86,86,86,82,82,84,84,84,82,80,77,77,77,80,21
Marquinhos,DF,87,90,90500000,183,75,Right,81,53,75,74,89,81,68,51,88,84,35,69,58,32,85,79,81,81,69,87,67,65,92,83,78,45,81,88,68,74,52,86,89,89,89,6,6,12,10,13,70,70,70,72,72,72,72,72,74,74,74,75,79,79,79,75,83,85,85,85,83,84,86,86,86,84,18
L. Goretzka,MF,87,88,93000000,189,82,Right,81,82,82,84,81,86,75,82,86,86,69,84,76,75,84,87,78,83,76,88,71,85,79,88,88,86,81,86,85,84,60,82,74,85,77,13,8,15,11,9,84,84,84,83,85,85,85,83,85,85,85,84,86,86,86,84,83,84,84,84,83,82,83,83,83,82,19
P. Dybala,FW,87,88,93000000,177,75,Left,84,86,86,90,40,60,82,85,59,87,88,90,90,88,79,93,88,80,92,80,94,84,75,70,61,89,43,42,82,91,84,79,32,41,39,5,4,4,5,8,82,82,82,87,86,86,86,87,88,88,88,85,81,81,81,85,66,63,63,63,66,62,52,52,52,62,14
A. Robertson,DF,87,88,83500000,178,64,Left,84,61,81,81,82,76,88,55,67,82,32,81,82,71,76,83,83,85,78,85,74,76,62,95,65,65,85,83,77,80,55,83,83,84,81,11,8,10,7,14,72,72,72,79,77,77,77,79,79,79,79,81,81,81,81,81,85,82,82,82,85,84,79,79,79,84,18
F. de Jong,MF,87,92,119500000,180,74,Right,81,69,85,88,77,78,78,72,72,91,70,88,84,64,87,89,80,82,88,88,79,68,76,90,74,66,75,82,77,86,45,90,76,76,77,7,13,10,10,9,78,78,78,83,82,82,82,83,85,85,85,85,86,86,86,85,83,83,83,83,83,82,78,78,78,82,18
T. Alexander-Arnold,DF,87,92,114000000,180,69,Right,79,68,88,80,80,72,92,60,69,86,62,78,87,85,90,86,77,80,73,82,73,82,66,88,63,75,74,82,77,87,55,81,80,83,79,14,15,14,6,7,75,75,75,80,79,79,79,80,81,81,81,82,84,84,84,82,84,83,83,83,84,83,78,78,78,83,19
J. Sancho,FW,87,91,116500000,180,76,Right,81,76,82,91,36,65,82,83,38,87,83,92,84,65,70,90,85,78,91,85,90,73,51,77,68,65,44,39,83,87,62,86,32,39,32,7,11,10,11,13,78,78,78,85,84,84,84,85,85,85,85,85,79,79,79,85,66,62,62,62,66,60,48,48,48,60,19
Ruben Dias,DF,87,91,102500000,187,82,Right,61,38,65,68,88,88,54,29,87,81,32,64,46,48,74,74,57,65,59,87,56,74,78,88,88,22,92,85,39,51,45,81,90,89,85,7,8,13,7,12,61,61,61,59,60,60,60,59,61,61,61,64,70,70,70,64,78,83,83,83,78,80,86,86,86,80,17
G. Chiellini,DF,86,86,12000000,187,85,Left,68,46,60,59,89,85,63,33,77,65,45,57,60,31,67,57,67,69,53,80,57,78,91,71,91,49,88,89,28,50,50,83,93,89,88,3,3,2,4,3,57,57,57,55,55,55,55,55,55,55,55,58,62,62,62,58,75,77,77,77,75,78,85,85,85,78,12
S. Handanovic,GK,86,86,7500000,193,92,Right,,,,,,,12,10,10,42,12,18,20,14,40,21,45,50,47,79,36,49,78,41,69,19,25,22,12,41,23,69,25,10,13,81,81,65,92,87,30,30,30,29,31,31,31,29,33,33,33,31,34,34,34,31,30,33,33,33,30,29,29,29,29,29,84
M. Hummels,DF,86,86,44000000,191,96,Right,56,59,77,73,89,77,65,57,88,82,61,69,66,53,86,79,47,64,61,88,62,71,70,66,86,49,71,89,57,80,68,89,90,90,86,15,6,10,5,6,70,70,70,68,70,70,70,68,72,72,72,71,78,78,78,71,78,84,84,84,78,80,85,85,85,80,17
Jordi Alba,DF,86,86,47000000,170,68,Left,86,69,81,83,77,71,85,73,70,85,60,81,80,63,79,85,87,86,90,80,85,64,80,87,61,66,75,81,83,78,59,80,74,78,80,13,15,13,6,13,76,76,76,82,80,80,80,82,81,81,81,83,81,81,81,83,82,80,80,80,82,82,76,76,76,82,19
Thiago,MF,86,86,65000000,174,70,Right,63,72,86,90,70,66,78,68,54,90,82,90,85,77,89,92,72,55,91,84,90,75,80,74,59,73,72,82,75,85,75,88,67,71,68,6,11,7,9,13,74,74,74,81,80,80,80,81,84,84,84,82,85,85,85,82,77,80,80,80,77,75,71,71,71,75,18
Sergio Busquets,MF,86,86,45000000,189,76,Right,42,62,79,80,82,75,62,67,68,87,44,81,66,68,85,86,40,43,67,86,50,61,66,78,72,54,81,85,77,83,60,90,84,82,81,5,8,13,9,13,70,70,70,73,75,75,75,73,78,78,78,75,82,82,82,75,77,84,84,84,77,76,79,79,79,76,17
Parejo,MF,86,86,53500000,182,74,Right,50,83,90,81,71,69,86,83,61,92,72,82,88,90,90,86,52,49,63,80,72,81,49,78,70,88,58,81,82,89,88,85,70,70,69,5,9,12,14,8,77,77,77,80,81,81,81,80,83,83,83,81,85,85,85,81,77,80,80,80,77,74,71,71,71,74,17
K. Casteels,GK,86,87,52000000,197,86,Left,,,,,,,15,15,14,35,13,14,20,13,37,23,44,46,50,83,43,60,58,44,72,18,33,16,15,42,20,40,11,19,17,85,83,80,84,87,32,32,32,29,31,31,31,29,32,32,32,31,33,33,33,31,29,32,32,32,29,29,29,29,29,29,84
L. Insigne,FW,86,86,65500000,163,59,Right,87,78,85,90,36,45,77,76,59,87,74,90,87,86,84,93,90,84,89,79,93,76,50,74,34,82,34,26,81,89,87,81,53,24,22,8,4,14,9,10,77,77,77,85,84,84,84,85,86,86,86,85,80,80,80,85,63,59,59,59,63,58,44,44,44,58,16
K. Koulibaly,DF,86,86,55500000,187,89,Right,81,28,51,65,87,85,30,22,84,63,14,69,28,28,63,64,74,87,51,83,34,55,82,70,94,15,83,85,35,52,33,82,90,88,86,7,11,7,13,5,56,56,56,55,57,57,57,55,57,57,57,59,62,62,62,59,73,76,76,76,73,76,85,85,85,76,17
R. Varane,DF,86,88,68500000,191,81,Right,82,49,64,65,87,82,42,46,86,78,42,55,46,52,76,78,79,85,62,84,39,52,81,76,86,53,80,85,55,59,43,83,86,88,87,11,11,9,5,14,66,66,66,64,66,66,66,64,67,67,67,67,72,72,72,67,77,81,81,81,77,80,85,85,85,80,18
R. Mahrez,MF,86,86,65500000,179,67,Left,81,79,81,90,38,60,81,81,48,83,76,91,85,78,75,91,84,79,92,81,88,79,56,75,57,79,48,39,80,84,70,84,45,31,22,15,9,13,11,6,78,78,78,85,83,83,83,85,85,85,85,84,78,78,78,84,64,61,61,61,64,58,48,48,48,58,18
Gerard Moreno,FW,86,86,68000000,180,77,Left,79,86,77,84,46,73,77,89,82,81,81,86,75,62,75,85,80,78,77,89,70,83,76,79,75,83,61,42,87,78,85,78,44,41,41,15,12,7,12,10,84,84,84,83,84,84,84,83,83,83,83,83,78,78,78,83,66,64,64,64,66,64,58,58,58,64,20
J. Vardy,FW,86,86,33000000,179,74,Right,85,84,70,80,52,73,69,90,79,74,84,78,68,60,60,82,85,85,76,91,76,87,80,76,66,67,87,49,92,76,85,88,45,52,54,15,14,7,15,11,84,84,84,81,83,83,83,81,80,80,80,80,74,74,74,80,68,65,65,65,68,67,63,63,63,67,22
Fabinho,MF,86,88,73500000,188,78,Right,67,69,78,78,85,83,75,63,75,84,47,78,71,53,82,81,65,68,64,86,64,81,75,88,81,70,85,87,70,75,90,84,86,87,85,13,12,6,8,8,74,74,74,75,75,75,75,75,76,76,76,77,81,81,81,77,82,84,84,84,82,82,84,84,84,82,18
Joao Cancelo,DF,86,87,71500000,182,74,Right,85,71,83,84,80,72,86,68,72,85,62,85,84,69,78,85,86,84,80,85,78,80,72,90,62,75,73,80,80,83,46,85,79,82,80,6,9,15,14,14,78,78,78,82,81,81,81,82,82,82,82,83,83,83,83,83,84,81,81,81,84,83,78,78,78,83,19
A. Laporte,DF,86,89,77000000,191,85,Left,63,50,72,69,86,80,58,45,84,82,40,63,61,69,80,78,59,67,57,87,60,68,80,72,84,47,81,87,54,65,44,84,86,87,86,10,11,5,14,5,66,66,66,65,66,66,66,65,68,68,68,68,74,74,74,68,77,82,82,82,77,79,85,85,85,79,18
K. Coman,FW,86,87,81000000,180,76,Right,93,76,79,88,30,60,79,75,61,80,77,89,83,70,74,88,94,93,91,85,84,80,73,69,64,73,35,23,85,81,70,78,29,27,21,5,3,5,3,5,80,80,80,85,84,84,84,85,84,84,84,84,75,75,75,84,60,55,55,55,60,56,45,45,45,56,13
Bernardo Silva,MF,86,87,80000000,173,64,Left,80,76,83,91,54,67,85,77,51,86,70,92,84,67,76,90,83,77,94,84,92,76,51,93,54,76,70,54,83,84,68,87,49,63,45,9,10,14,12,9,77,77,77,85,84,84,84,85,85,85,85,85,82,82,82,85,74,71,71,71,74,69,60,60,60,69,18
Marcos Llorente,MF,86,89,88000000,184,74,Right,88,80,81,82,78,82,74,81,67,86,64,82,73,58,83,84,86,90,82,86,69,84,69,90,79,79,83,82,87,86,64,83,79,80,74,13,6,6,11,15,82,82,82,83,84,84,84,83,84,84,84,84,84,84,84,84,82,83,83,83,82,81,79,79,79,81,19
Rodri,MF,86,89,81000000,191,82,Right,61,70,77,78,82,82,63,64,78,85,59,78,65,54,83,82,60,62,65,80,65,83,72,87,82,76,76,83,75,81,46,83,83,84,78,10,10,7,14,8,75,75,75,74,76,76,76,74,78,78,78,76,82,82,82,76,78,83,83,83,78,78,81,81,81,78,18
M. Skriniar,DF,86,88,74000000,188,80,Right,80,41,53,69,87,84,40,42,81,72,40,67,34,30,49,72,76,84,54,86,56,50,84,79,86,30,84,86,30,46,56,87,90,88,82,10,13,12,8,12,60,60,60,60,60,60,60,60,60,60,60,62,64,64,64,62,76,77,77,77,76,78,85,85,85,78,19
A. Gomez,MF,85,85,33500000,167,68,Right,87,78,84,87,39,55,83,77,38,85,72,85,85,79,80,86,91,83,93,86,93,79,70,75,44,82,56,40,80,86,72,85,50,30,34,8,11,12,9,6,76,76,76,84,83,83,83,84,84,84,84,84,79,79,79,84,66,62,62,62,66,61,49,49,49,61,17
K. Schmeichel,GK,85,85,9000000,189,89,Right,,,,,,,18,12,16,44,15,12,13,15,46,40,45,51,61,82,47,60,60,34,64,14,35,20,13,59,26,67,14,14,13,84,78,80,83,90,33,33,33,33,35,35,35,33,38,38,38,35,39,39,39,35,31,36,36,36,31,30,29,29,29,30,83
Thiago Silva,DF,85,85,9500000,183,79,Right,53,54,72,72,86,78,60,40,81,80,61,67,62,61,80,79,52,54,67,82,66,71,88,68,82,65,76,88,59,71,60,86,87,86,84,9,12,5,9,10,65,65,65,65,67,67,67,65,69,69,69,67,75,75,75,67,76,82,82,82,76,77,83,83,83,77,18
David Silva,MF,85,85,22000000,173,67,Left,63,74,87,87,52,53,83,72,53,90,82,86,82,77,83,90,70,57,84,85,89,72,61,66,45,73,56,50,86,90,75,91,58,53,29,6,15,7,6,12,75,75,75,82,82,82,82,82,84,84,84,82,82,82,82,82,67,68,68,68,67,62,56,56,56,62,18
Y. Sommer,GK,85,85,26500000,183,79,Right,,,,,,,13,13,10,40,8,15,12,13,31,25,48,54,55,82,58,63,73,45,68,12,38,21,15,64,24,57,9,19,12,79,81,84,86,86,32,32,32,32,34,34,34,32,36,36,36,34,37,37,37,34,30,33,33,33,30,29,29,29,29,29,83
E. Cavani,FW,85,85,26000000,185,77,Right,66,86,70,76,51,79,68,89,88,75,86,74,76,74,52,81,64,68,68,90,57,87,88,81,77,77,81,54,93,75,85,85,45,48,39,12,5,13,13,10,84,84,84,78,81,81,81,78,78,78,78,76,73,73,73,76,65,64,64,64,65,63,63,63,63,63,19
E. Hazard,MF,85,85,52000000,175,74,Right,84,80,82,88,35,63,77,78,61,85,82,89,83,79,81,88,86,82,87,79,89,82,55,77,61,77,54,41,83,84,87,89,34,27,22,11,12,6,8,8,79,79,79,84,83,83,83,84,84,84,84,83,78,78,78,83,63,61,61,61,63,58,48,48,48,58,17
L. Bonucci,DF,85,85,17500000,190,85,Right,64,58,69,72,86,80,44,48,83,81,58,69,56,60,81,79,60,68,59,82,53,74,90,65,86,65,82,86,38,71,70,86,88,85,81,2,2,3,2,4,66,66,66,64,66,66,66,64,69,69,69,66,74,74,74,66,74,82,82,82,74,76,84,84,84,76,11
P. Gulacsi,GK,85,85,28500000,191,86,Right,,,,,,,16,10,23,35,10,19,18,11,31,25,42,44,41,81,42,57,67,35,74,12,34,23,11,44,24,45,25,16,20,85,84,76,82,86,31,31,31,29,31,31,31,29,31,31,31,31,32,32,32,31,30,33,33,33,30,30,33,33,33,30,83
I. Gundogan,MF,85,85,51500000,180,80,Right,65,80,85,86,73,72,78,80,50,88,75,86,86,80,85,89,66,65,77,86,77,79,61,74,73,81,70,78,82,86,80,87,76,75,67,11,14,5,5,13,78,78,78,82,82,82,82,82,84,84,84,82,84,84,84,82,78,80,80,80,78,75,73,73,73,75,19
M. Reus,FW,85,85,43000000,180,71,Right,73,84,84,85,47,63,85,84,44,85,85,85,88,85,79,86,76,71,83,86,82,86,68,67,66,83,51,49,85,86,76,85,52,38,54,12,12,13,13,11,79,79,79,84,83,83,83,84,84,84,84,83,79,79,79,83,68,66,66,66,68,64,56,56,56,64,20
K. Walker,DF,85,85,39000000,183,83,Right,92,63,76,78,80,82,77,51,74,79,57,79,76,71,77,81,89,94,66,85,69,86,83,86,80,69,84,80,68,69,63,75,77,84,83,12,6,16,15,8,74,74,74,76,76,76,76,76,75,75,75,78,77,77,77,78,82,80,80,80,82,82,81,81,81,82,19
P. Aubameyang,FW,85,85,43500000,187,80,Right,89,85,75,80,35,69,76,89,73,77,83,79,81,76,64,81,87,91,77,86,67,82,75,79,74,78,43,48,90,77,83,87,20,29,36,6,9,15,9,9,83,83,83,82,83,83,83,82,81,81,81,81,74,74,74,81,64,58,58,58,64,60,51,51,51,60,17
Koke,MF,85,85,52500000,176,75,Right,70,75,85,81,79,80,85,72,61,86,56,80,85,76,84,83,72,69,73,88,82,83,59,93,75,80,79,83,83,86,67,86,82,81,70,14,12,5,10,13,77,77,77,80,81,81,81,80,82,82,82,82,84,84,84,82,82,83,83,83,82,80,77,77,77,80,20
